1761955200000000,94893.50000000,95050.23000000,94723.21000000,95035.14000000,3.85925000,1761958799999999,366103.40803640,1490,1.89255000,179539.68985490,0
1761958800000000,95031.30000000,95329.29000000,95007.90000000,95037.00000000,3.12579000,1761962399999999,297495.20825040,1007,1.35902000,129364.61446360,0
1761962400000000,95035.20000000,95136.65000000,94800.00000000,95074.20000000,3.51778000,1761965999999999,334126.73988350,1155,1.46649000,139285.23678200,0
1761966000000000,95070.31000000,95518.79000000,95070.31000000,95444.70000000,5.85193000,1761969599999999,557946.48096560,1459,3.75628000,358135.66350900,0
1761969600000000,95448.60000000,95722.00000000,95362.80000000,95499.30000000,5.70956000,1761973199999999,545516.06883260,1495,2.13978000,204468.48039240,0
1761973200000000,95503.20000000,95589.02000000,95300.00000000,95351.10000000,2.81031000,1761976799999999,268099.20454050,889,1.42120000,135571.85688660,0
1761976800000000,95351.10000000,95366.69000000,95162.89000000,95245.71000000,4.17727000,1761980399999999,397865.64347450,1057,2.70017000,257153.06274160,0
1761980400000000,95247.53000000,95483.70000000,95238.77000000,95307.85000000,3.89666000,1761983999999999,371636.08879060,1345,2.46415000,235040.24001200,0
1761984000000000,95312.63000000,95487.60000000,95304.50000000,95471.01000000,4.61262000,1761987599999999,440088.25353770,1511,1.99542000,190388.55311790,0
1761987600000000,95461.39000000,95472.74000000,95226.95000000,95251.32000000,6.97298000,1761991199999999,664861.89652470,1628,3.16928000,302164.22947780,0
1761991200000000,95251.32000000,95401.80000000,95103.23000000,95379.77000000,4.73819000,1761994799999999,451312.20700280,1495,2.08808000,198901.39620010,0
1761994800000000,95381.83000000,95452.43000000,95249.48000000,95348.72000000,3.75360000,1761998399999999,357964.42210180,1125,2.11035000,201253.04793230,0
1761998400000000,95350.55000000,95405.69000000,95221.17000000,95260.36000000,3.90557000,1762001999999999,372280.57693050,1402,1.67816000,159971.37178710,0
1762002000000000,95260.37000000,95282.98000000,94980.01000000,95170.36000000,5.55869000,1762005599999999,528918.89514820,1817,2.06171000,196249.03257170,0
1762005600000000,95160.00000000,95201.52000000,94973.69000000,95148.21000000,9.76316000,1762009199999999,928415.03376320,1903,5.32469000,506414.62931420,0
1762009200000000,95150.00000000,95500.56000000,95127.97000000,95454.30000000,9.45612000,1762012799999999,901309.73960300,2527,6.16272000,587442.19759890,0
1762012800000000,95455.13000000,95659.52000000,95361.18000000,95600.86000000,7.36375000,1762016399999999,703280.04321620,2099,3.76969000,360036.82555430,0
1762016400000000,95595.03000000,95628.42000000,95383.65000000,95401.80000000,5.73686000,1762019999999999,547788.12759550,1484,1.95078000,186248.21150290,0
1762020000000000,95399.47000000,95534.38000000,95383.64000000,95509.96000000,2.94472000,1762023599999999,281073.43426320,1205,1.45626000,138997.49696850,0
1762023600000000,95505.18000000,95505.18000000,95410.38000000,95468.80000000,1.65228000,1762027199999999,157708.47300440,894,0.91979000,87790.48514310,0
1762027200000000,95468.81000000,95655.30000000,95468.81000000,95565.72000000,2.96672000,1762030799999999,283520.97529850,1318,1.66104000,158742.35257230,0
1762030800000000,95570.51000000,95588.99000000,95066.66000000,95071.80000000,4.78330000,1762034399999999,456233.01982920,1597,2.04294000,194901.26844900,0
1762034400000000,95071.80000000,95265.43000000,95071.79000000,95265.32000000,3.43952000,1762037999999999,327362.86379370,1288,1.90796000,181580.95295140,0
1762038000000000,95265.32000000,95308.91000000,95165.28000000,95271.65000000,2.25358000,1762041599999999,214594.75804670,1134,0.93040000,88600.07319470,0
1762041600000000,95271.66000000,95316.47000000,95111.75000000,95209.94000000,3.93925000,1762045199999999,375105.63626810,1297,1.75390000,167012.09624150,0
1762045200000000,95200.09000000,95309.63000000,95150.74000000,95195.53000000,2.82795000,1762048799999999,269312.10792210,1218,1.33209000,126854.72901320,0
1762048800000000,95195.52000000,95460.45000000,95120.13000000,95229.54000000,3.90613000,1762052399999999,372049.86100580,1316,1.85455000,176619.87526430,0
1762052400000000,95227.02000000,95267.34000000,95166.31000000,95244.66000000,1.82613000,1762055999999999,173863.43121320,621,1.04528000,99527.97628320,0
1762056000000000,95240.56000000,95870.37000000,95208.79000000,95770.07000000,5.67769000,1762059599999999,542421.36235480,1637,3.03694000,290230.25337350,0
1762059600000000,95773.85000000,95788.13000000,95411.92000000,95596.20000000,5.81838000,1762063199999999,556183.06547480,1350,2.61782000,250190.16390770,0
1762063200000000,95594.03000000,95777.76000000,95420.00000000,95727.90000000,2.79471000,1762066799999999,267172.84318390,1086,1.69754000,162300.19690530,0
1762066800000000,95731.76000000,96088.65000000,95574.54000000,95955.31000000,8.75497000,1762070399999999,838607.28209860,2317,4.74677000,454830.48226120,0
1762070400000000,95966.09000000,96063.59000000,95811.66000000,95928.84000000,7.78120000,1762073999999999,746143.85500630,2039,4.10959000,394066.27297040,0
1762074000000000,95932.62000000,96106.99000000,95676.12000000,95826.77000000,10.23407000,1762077599999999,981487.17020850,2309,5.21776000,500449.77453650,0
1762077600000000,95826.78000000,95957.72000000,95514.71000000,95630.22000000,7.18832000,1762081199999999,688108.51677120,2074,3.22301000,308521.71516420,0
1762081200000000,95630.22000000,96200.00000000,95624.06000000,96183.69000000,12.03747000,1762084799999999,1155483.35987130,2690,7.68123000,737745.85926560,0
1762084800000000,96183.69000000,96227.46000000,95800.32000000,95844.07000000,12.00587000,1762088399999999,1152928.00960900,2436,7.21138000,692592.34533060,0
1762088400000000,95849.94000000,95868.96000000,95414.16000000,95738.35000000,7.93376000,1762091999999999,758640.72322830,2570,3.79664000,363110.91112440,0
